newsdate,twcount,title,href
2014-12-31 00:00:00,3,Coach Doug Marrone leaves Buffalo Bills,http://theplazz.com/2014/12/3119744/
2014-12-31 00:00:00,37,Eastern hemisphere welcomes new year,http://theplazz.com/2014/12/3117544/
2014-12-31 00:00:00,74,Ready to shake off 2014? New Year’s Eve is here,http://theplazz.com/2014/12/3115636/
2014-12-31 00:00:00,10,Goodbye Mr. Gilmore: Ed Herrmann dies at 71,http://theplazz.com/2014/12/3118909/
2014-12-30 00:00:00,46,NYE resolutions: Can’t win if you don’t play,http://theplazz.com/2014/12/3110472/
2014-12-30 00:00:00,53,Last days of 2014 a time of reflection for tweeps,http://theplazz.com/2014/12/3110414/
2014-12-30 00:00:00,33,"Movie watching a happy, lazy holiday pasttime",http://theplazz.com/2014/12/3110361/
2014-12-30 00:00:00,11,"Scalise new twist: Same venue, different event",http://theplazz.com/2014/12/3116599/
2014-12-30 00:00:00,11,Toddler fatally shoots mom in Idaho Wal-Mart,http://theplazz.com/2014/12/3116224/
2014-12-30 00:00:00,8,Trans teen’s suicide note: ‘Fix society. Please.’,http://theplazz.com/2014/12/3116234/
2014-12-30 00:00:00,7,Oliver Stone interviews Viktor Yanukovych,http://theplazz.com/2014/12/3116083/
2014-12-30 00:00:00,4,"Luise Rainer, silver screen star, dies at 104",http://theplazz.com/2014/12/3114635/
2014-12-30 00:00:00,12,Palestinian statehood turned down by UNSC,http://theplazz.com/2014/12/3115229/
2014-12-30 00:00:00,7,Former La. Rep. Duke warns Scalise’s critics,http://theplazz.com/2014/12/3115735/
2014-12-30 00:00:00,25,Scalise regrets speech to white supremacy group,http://theplazz.com/2014/12/3115155/
2014-12-30 00:00:00,19,NYPD in slowdown as de Blasio meets unions,http://theplazz.com/2014/12/3114293/
2014-12-30 00:00:00,11,Scalise scandal brings up memories of Sen. Byrd,http://theplazz.com/2014/12/3113696/
2014-12-30 00:00:00,13,"Bodies, debris of missing Air Asia flight found",http://theplazz.com/2014/12/3113652/
2014-12-30 00:00:00,10,Rep. Michael Grimm to resign this week,http://theplazz.com/2014/12/3113190/
2014-12-30 00:00:00,4,First case of Ebola virus found in Glasgow,http://theplazz.com/2014/12/3112349/
2014-12-30 00:00:00,4,Cosby team hires PI to threaten accusers,http://theplazz.com/2014/12/3111240/
2014-12-29 00:00:00,5,WaPo to license back-end technology,http://theplazz.com/2014/12/3113201/
2014-12-29 00:00:00,19,Jay from ‘Serial’ speaks: The Intercept interview,http://theplazz.com/2014/12/3112195/
2014-12-29 00:00:00,5,NY Assembly speaker investigated over pay,http://theplazz.com/2014/12/3113132/
2014-12-29 00:00:00,39,New House whip spoke at ’02 hate group event,http://theplazz.com/2014/12/3111916/
2014-12-29 00:00:00,4,Suh stomp: Player can’t join in playoff game,http://theplazz.com/2014/12/3111972/
2014-12-29 00:00:00,12,NYPD’s Bratton: Officers’ protest ‘inappropriate’,http://theplazz.com/2014/12/3110792/
2014-12-29 00:00:00,5,Side of fries not included with Shake Shack IPO,http://theplazz.com/2014/12/3111176/
2014-12-29 00:00:00,8,"NY Jets fire coach Rex Ryan, GM John Idzik",http://theplazz.com/2014/12/3110758/
2014-12-29 00:00:00,7,Greek parliament rejects presidential nominee,http://theplazz.com/2014/12/3110400/
2014-12-28 00:00:00,12,"49ers, Harbaugh part: Is his heart in Michigan?",http://theplazz.com/2014/12/3109943/
2014-12-28 00:00:00,12,"Glitches in TweetDeck, Twitter for Android",http://theplazz.com/2014/12/3109702/
2014-12-28 00:00:00,14,"As Pack overcomes, Suh steps on injured Rodgers",http://theplazz.com/2014/12/3109332/
2014-12-28 00:00:00,5,US-led combat mission in Afghanistan ends,http://theplazz.com/2014/12/3108944/
2014-12-28 00:00:00,18,Year’s lame-duck week a holiday limbo,http://theplazz.com/2014/12/3108675/
2014-12-28 00:00:00,3,Debate over US ban on paying ransoms renews,http://theplazz.com/2014/12/3108456/
2014-12-28 00:00:00,10,‘Hobbit’ earnings at box office as long as film,http://theplazz.com/2014/12/3107756/
2014-12-28 00:00:00,16,Air Asia’s Indonesia-to-Singapore flight missing,http://theplazz.com/2014/12/3107749/
2014-12-28 00:00:00,22,2015 predictions begin as 2014 comes to end,http://theplazz.com/2014/12/3107719/
2014-12-27 00:00:00,16,"Tweeps question NYPD’s policies, protests",http://theplazz.com/2014/12/3107618/
2014-12-27 00:00:00,25,Mostly praise for MLK biographic film ‘Selma’,http://theplazz.com/2014/12/3103894/
2014-12-27 00:00:00,6,Kwanzaa leads to rally for #BlackLivesMatter,http://theplazz.com/2014/12/3107385/
2014-12-27 00:00:00,45,"Police gather, protest for NYPD officer’s funeral",http://theplazz.com/2014/12/3105781/
2014-12-27 00:00:00,4,Dems to seek Hispanics with immigration play,http://theplazz.com/2014/12/3106573/
2014-12-27 00:00:00,11,‘American Sniper’ bags limited-release record,http://theplazz.com/2014/12/3106581/
2014-12-27 00:00:00,12,Odd-named bowl games dominate football scene,http://theplazz.com/2014/12/3106382/
2014-12-27 00:00:00,10,"N. Korea: US, ‘monkey’ Obama behind outage",http://theplazz.com/2014/12/3105848/
2014-12-27 00:00:00,4,Syrian teen wearing explosives escapes ISIS,http://theplazz.com/2014/12/3106108/
2014-12-26 00:00:00,39,‘Twas the day after Christmas …,http://theplazz.com/2014/12/3103449/
2014-12-27 00:00:00,92,Weekend@ThePlazz: Random Brilliance,http://theplazz.com/2014/12/3089393/
2014-12-26 00:00:00,11,‘Into the Woods’ wishes way to box office silver,http://theplazz.com/2014/12/3104856/
2014-12-26 00:00:00,9,Screech of ‘Saved by the Bell’ jailed after stabbing,http://theplazz.com/2014/12/3104618/
2014-12-26 00:00:00,6,Gas price limbo: Mo. fuel costs drop below $2,http://theplazz.com/2014/12/3104122/
2014-12-26 00:00:00,34,Mixed reviews are in for Sony’s ‘The Interview’,http://theplazz.com/2014/12/3103756/
2014-12-26 00:00:00,18,Boxing Day deals draw shoppers to stores,http://theplazz.com/2014/12/3103439/
2014-12-26 00:00:00,16,Jolie’s ‘Unbroken’ strong in box-office marathon,http://theplazz.com/2014/12/3102962/
2014-12-25 00:00:00,4,NSA document dump a coal-filled stocking,http://theplazz.com/2014/12/3103062/
2014-12-25 00:00:00,19,Many US soldiers stuck at work on holiday,http://theplazz.com/2014/12/3098572/
2014-12-25 00:00:00,13,"This Christmas, turn down for nacht",http://theplazz.com/2014/12/3102325/
2014-12-25 00:00:00,30,Tweeps make hopeful New Year’s resolutions,http://theplazz.com/2014/12/3101814/
2014-12-25 00:00:00,56,Will ‘The Interview’ be the top Xmas flick?,http://theplazz.com/2014/12/3100995/
2014-12-25 00:00:00,43,And presents under the Christmas tree …,http://theplazz.com/2014/12/3101215/
2014-12-25 00:00:00,165,Season’s tweetings: It’s Christmas Day greetings,http://theplazz.com/2014/12/3101175/
2014-12-25 00:00:00,47,"Christians mark nativity with services, prayers",http://theplazz.com/2014/12/3098334/
2014-12-25 00:00:00,63,Foodies revel in the flavors of the season,http://theplazz.com/2014/12/3098590/
2014-12-24 00:00:00,6,Mele Kalikimaka remains tradition for Obamas,http://theplazz.com/2014/12/3100009/
